tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
859656	Ralstonia solanacearum CFBP2957	9412706	0	live	RCFBP_mp10223	RCFBP_mp10223	putative esterase/lipase protein				NC_014309.1	243713	244711	plus	0		
446465	Brachybacterium faecium DSM 4810	8401505	0	live	Bfae_29610	Bfae_29610	esterase/lipase				NC_013172.1	3343397	3344437	minus	0		
446465	Brachybacterium faecium DSM 4810	8401504	0	live	Bfae_29600	Bfae_29600	esterase/lipase				NC_013172.1	3342357	3343355	minus	0		
446465	Brachybacterium faecium DSM 4810	8399046	0	live	Bfae_04980	Bfae_04980	esterase/lipase				NC_013172.1	568353	569270	minus	0		
446465	Brachybacterium faecium DSM 4810	8398865	0	live	Bfae_03170	Bfae_03170	esterase/lipase				NC_013172.1	371348	372175	plus	0		
243230	Deinococcus radiodurans R1	1798964	0	live	DR_0133	DR_0133	lipase/esterase			1	NC_001263.1	132288	133178	plus	0		
28173	Vibrio nigripulchritudo	29462173	0	live	VIBNI_RS04890	VIBNI_RS04890, VIBNI_A1016	esterase/lipase			1	NC_022528.1	1079313	1080158	plus	0		
1225786	Dickeya solani IPO 2222	23247334	0	live	DSOIPO2222_RS13530	DSOIPO2222_RS13530	lipase/esterase										
1225786	Dickeya solani IPO 2222	23245448	0	live	DSOIPO2222_RS04100	DSOIPO2222_RS04100	lipase/esterase										
871585	Acinetobacter pittii PHEA-2	11638750	0	live	BDGL_000570	BDGL_000570	esterase/lipase/thioesterase				NC_016603.1	601035	601949	minus	0		
871585	Acinetobacter pittii PHEA-2	11638582	0	live	bah	BDGL_000404	lipase/esterase				NC_016603.1	441976	442869	minus	0		
871585	Acinetobacter pittii PHEA-2	11638509	0	live	afmiD	BDGL_000333	putative esterase/lipase				NC_016603.1	349733	350596	plus	0		
565050	Caulobacter crescentus NA1000	7332453	0	live	CCNA_03456	CCNA_03456	esterase/lipase				NC_011916.1	3619646	3620482	plus	0		
36809	Mycobacterium abscessus	5965947	0	live	MAB_3447c	MAB_3447c	Putative lipase/esterase			Chromosome	NC_010397.1	3489482	3490222	minus	0		
380703	Aeromonas hydrophila subsp. hydrophila ATCC 7966	4490509	0	live	AHA_1211	AHA_1211	esterase/lipase				NC_008570.1	1319993	1320811	minus	0		
205918	Pseudomonas syringae pv. syringae B728a	3369923	0	live	Psyr_4383	Psyr_4383	esterase/lipase/thioesterase family protein				NC_007005.1	5240104	5241006	plus	0		
223283	Pseudomonas syringae pv. tomato str. DC3000	1186526	0	live	PSPTO_4843	PSPTO_4843, PSPTO4843	esterase/lipase/thioesterase family protein	esterase/lipase/thioesterase family protein			NC_004578.1	5483479	5484387	plus	0		
223283	Pseudomonas syringae pv. tomato str. DC3000	1185958	0	live	PSPTO_4277	PSPTO_4277, PSPTO4277	esterase/lipase/thioesterase family protein	esterase/lipase/thioesterase family protein			NC_004578.1	4818257	4819090	plus	0		
749927	Amycolatopsis mediterranei U32	9439723	0	live	AMED_5547	AMED_5547	esterase/lipase-like protein				NC_014318.1	6158346	6158654	minus	0		
749927	Amycolatopsis mediterranei U32	9438643	0	live	aes	AMED_4460	lipase/esterase				NC_014318.1	4889997	4890956	plus	0		
749927	Amycolatopsis mediterranei U32	9434850	0	live	aes	AMED_0632	esterase/lipase				NC_014318.1	689241	690173	plus	0		
394	Sinorhizobium fredii NGR234	7791444	0	live	NGR_c21670	NGR_c21670	lipase/esterase				NC_012587.1	2239027	2239950	minus	0		
394	Sinorhizobium fredii NGR234	7790643	0	live	NGR_c00640	NGR_c00640	lipase / esterase				NC_012587.1	69761	70576	minus	0		
321967	Lactobacillus paracasei ATCC 334	4421454	0	live	LSEI_2884	LSEI_2884	esterase/lipase				NC_008526.1	2864556	2865512	minus	0		
321967	Lactobacillus paracasei ATCC 334	4420379	0	live	LSEI_1850	LSEI_1850	esterase/lipase				NC_008526.1	1848543	1849352	plus	0		
321967	Lactobacillus paracasei ATCC 334	4419416	0	live	LSEI_0690	LSEI_0690	esterase/lipase				NC_008526.1	691490	692275	plus	0		
272943	Rhodobacter sphaeroides 2.4.1	3720978	0	live	RSP_1010	RSP_1010	putative esterase/lipase/thioesterase			1	NC_007493.2	2769567	2770421	minus	0		
272943	Rhodobacter sphaeroides 2.4.1	3718007	0	live	RSP_0592	RSP_0592	Putative lipase/esterase			1	NC_007493.2	2333387	2334325	plus	0		
979556	Microbacterium testaceum StLB037	32513524	0	live	MTES_RS13260	MTES_RS13260	esterase/lipase				NC_015125.1	2917231	2918292	plus	0		
1194526	Staphylococcus warneri SG1	14479549	0	live	A284_RS22585	A284_RS22585, A284_10055	lipase/esterase				NC_020164.1	2112728	2113780	minus	0		
1082933	Mesorhizobium amorphae CCNWGS0123	32097561	0	live	A6B35_RS06130	A6B35_RS06130, A6B35_06085	lipase/esterase										
198628	Dickeya dadantii 3937	9734478	0	live	DDA3937_RS14140	DDA3937_RS14140, Dda3937_01836	lipase/esterase				NC_014500.1	3237019	3237999	minus	0		
266265	Paraburkholderia xenovorans LB400	4003803	0	live	BXE_RS12900	BXE_RS12900, Bxe_A1821	esterase/lipase/thioesterase			1	NC_007951.1	2898690	2899676	plus	0		
935546	Mesorhizobium loti NZP2037	31696879	0	live	A9174_RS04355	A9174_RS04355, A9174_04355	lipase/esterase										
935546	Mesorhizobium loti NZP2037	31696447	0	live	A9174_RS02180	A9174_RS02180, A9174_02180	lipase/esterase										
484022	Francisella philomiragia subsp. philomiragia ATCC 25017	29666138	0	live	FPHI_RS09295	FPHI_RS09295, Fphi_1796	lipase/esterase				NC_010336.1	1921828	1922748	plus	0		
1235461	Sinorhizobium meliloti GR4	25011783	0	live	C770_RS24940	C770_RS24940, C770_GR4pC1293	esterase/lipase				NC_019848.1	1270165	1271010	plus	0		
1254439	Bifidobacterium thermophilum RBL67	31839723	0	live	D805_RS06735	D805_RS06735, D805_1453	esterase/lipase-like protein				NC_020546.1	1777106	1778164	plus	0		
979556	Microbacterium testaceum StLB037	32512845	0	live	MTES_RS05660	MTES_RS05660	esterase/lipase				NC_015125.1	1235596	1236492	minus	0		
28173	Vibrio nigripulchritudo	29465688	0	live	VIBNI_RS21775	VIBNI_RS21775, VIBNI_B0668	esterase/lipase			2	NC_022543.1	682280	683065	plus	0		
1423144	Phaeobacter gallaeciensis DSM 26640	31844918	0	live	GAL_RS02265	GAL_RS02265, Gal_00467	esterase/lipase				NC_023137.1	456614	457399	plus	0		
233413	Mycobacterium bovis AF2122/97	32287115	0	live	lipN	BQ2027_MB2994C	PROBABLE LIPASE/ESTERASE LIPN			Mycobacterium_bovis_AF2122/97	NC_002945.4	3285674	3286804	minus	0		
233413	Mycobacterium bovis AF2122/97	32286186	0	live	lipP	BQ2027_MB2490	PROBABLE ESTERASE/LIPASE LIPP			Mycobacterium_bovis_AF2122/97	NC_002945.4	2738229	2739413	plus	0		
681645	Corynebacterium pseudotuberculosis C231	12297823	0	live	CPC231_RS10905	CPC231_RS10905, CpC231_0095	Esterase/lipase	Esterase/lipase|alpha/beta hydrolase			NC_017301.1	93639	94499	minus	0		
314315	Lactobacillus sakei subsp. sakei 23K	29637786	0	live	LCA_RS07040	LCA_RS07040, LSA1420	lipase/esterase				NC_007576.1	1388204	1388968	minus	0		
71421	Haemophilus influenzae Rd KW20	951100	0	live	HI0193	HI0193	esterase/lipase	esterase/lipase			NC_000907.1	205838	206620	minus	0		
312309	Vibrio fischeri ES114	3278363	0	live	ybfF	VF_0814, VF0814	esterase/lipase YbfF			I	NC_006840.2	892984	893760	minus	0		
223926	Vibrio parahaemolyticus RIMD 2210633	1188334	0	live	VP0837	VP0837	esterase/lipase YbfF			1	NC_004603.1	867539	868306	minus	0		
220341	Salmonella enterica subsp. enterica serovar Typhi str. CT18	1247191	0	live	ybfF	STY0734	esterase/lipase YbfF				NC_003198.1	734222	734992	minus	0		
272943	Rhodobacter sphaeroides 2.4.1	3718400	0	live	RSP_0821	RSP_0821	Esterase/lipase/thioesterase			1	NC_007493.2	2566844	2567614	minus	0		
243090	Rhodopirellula baltica SH 1	1796657	0	live	RB3413	RB3413	lipase/esterase				NC_005027.1	1761281	1762402	minus	0		
1042878	Cupriavidus necator N-1	34309631	0	live	CNE_RS15415	CNE_RS15415, CNE_1c31590	lipase/esterase			1	NC_015726.1	3287865	3288950	plus	0		
243090	Rhodopirellula baltica SH 1	1795288	0	live	RB12482	RB12482	lipase/esterase				NC_005027.1	6718870	6720036	plus	0		
243090	Rhodopirellula baltica SH 1	1794784	0	live	RB11927	RB11927	lipase/esterase				NC_005027.1	6420067	6421170	plus	0		
233413	Mycobacterium bovis AF2122/97	1091775	0	live	lipG	BQ2027_MB0665C	PROBABLE LIPASE/ESTERASE LIPG			Mycobacterium_bovis_AF2122/97	NC_002945.4	741470	742375	minus	0		
100226	Streptomyces coelicolor A3(2)	1097557	0	live	SCO2123	SCO2123, SC6E10.17	esterase/lipase				NC_003888.3	2283639	2284442	plus	0		
220668	Lactobacillus plantarum WCFS1	1062879	0	live	lp_2631	lp_2631	lipase/esterase				NC_004567.2	2344008	2344793	minus	0		
177416	Francisella tularensis subsp. tularensis SCHU S4	3192456	0	live	FTT_0941c	FTT_0941c	lipase/esterase				NC_006570.2	952433	953353	minus	0		
413999	Clostridium botulinum A str. ATCC 3502	5186442	0	live	CBO2187	CBO2187	lipase/esterase				NC_009495.1	2333826	2334857	minus	0		
83332	Mycobacterium tuberculosis H37Rv	888065	0	live	lipG	Rv0646c	lipase/esterase LipG				NC_000962.3	740234	741139	minus	0		
83332	Mycobacterium tuberculosis H37Rv	887194	0	live	lipN	Rv2970c	lipase/esterase LipN				NC_000962.3	3324573	3325703	minus	0		
758847	Leptospira santarosai serovar Shermani str. LT 821	29738858	0	live	LSS_RS13125	LSS_RS13125, LSS_15856	lipase/esterase			I							
1377	Aerococcus viridans	32030240	0	live	AWM76_RS04820	AWM76_RS04820, AWM76_04820	lipase/esterase	lipase/esterase									
768486	Enterococcus hirae ATCC 9790	13176608	0	live	EHR_RS12200	EHR_RS12200, EHR_13220	lipase/esterase				NC_018081.1	2568509	2569273	minus	0		
1114970	Pseudomonas fluorescens F113	11829852	0	live	PSF113_RS39260	PSF113_RS39260, PSF113_1763	esterase/lipase/thioesterase				NC_016830.1	2055412	2056401	plus	0		
1217658	Acinetobacter gyllenbergii NIPH 230	23002694	0	live	F987_RS14765	F987_RS14765, F987_01361	esterase/lipase/thioesterase										
402626	Ralstonia pickettii 12J	6288662	0	live	RPIC_RS04140	RPIC_RS04140, Rpic_0843	esterase/lipase			1	NC_010682.1	895577	896401	minus	0		
1051973	Rhodococcus fascians D188	15334492	0	live	pFi_053	pFi_053	putative esterase/lipase				NC_021080.1	49838	51487	minus	0		
211586	Shewanella oneidensis MR-1	14002257	0	live	SO_2023	SO_2023	esterase/lipase/thioesterase family protein				NC_004347.2	2122533	2124008	plus	0		
211586	Shewanella oneidensis MR-1	1171797	0	live	SO_4193	SO_4193	esterase/lipase/thioesterase family protein				NC_004347.2	4360876	4362249	minus	0		
211586	Shewanella oneidensis MR-1	1169050	0	live	SO_1224	SO_1224	esterase/lipase/thioesterase family protein				NC_004347.2	1270674	1271660	plus	0		
224308	Bacillus subtilis subsp. subtilis str. 168	938553	0	live	yqhO	BSU_24510, BSU24510	putative lipase / acyl esterase	putative lipase / acyl esterase			NC_000964.3	2542439	2543314	minus	0		
246196	Mycobacterium smegmatis str. MC2 155	4535299	0	live	MSMEG_5220	MSMEG_5220	esterase/lipase/thioesterase				NC_008596.1	5314772	5315719	minus	0		
83332	Mycobacterium tuberculosis H37Rv	888572	0	live	lipP	Rv2463	esterase/lipase LipP				NC_000962.3	2765655	2766839	plus	0		
272634	Mycoplasma pneumoniae M129	877058	0	live	lip3	MPN445	esterase/lipase	esterase/lipase			NC_000912.1	541734	542603	plus	0		
272634	Mycoplasma pneumoniae M129	876827	0	live	lip3	MPN519, G12_orf272V	esterase/lipase	esterase/lipase			NC_000912.1	639196	640014	minus	0		
272634	Mycoplasma pneumoniae M129	876746	0	live	lip2	MPN473, P01_orf268	esterase/lipase	esterase/lipase			NC_000912.1	575157	575963	minus	0		
220668	Lactobacillus plantarum WCFS1	1064092	0	live	lp_1760	lp_1760	lipase/esterase				NC_004567.2	1597233	1597985	minus	0		
220668	Lactobacillus plantarum WCFS1	1063982	0	live	lp_3323	lp_3323	lipase/esterase, SGNH or GDSL hydrolase family				NC_004567.2	2956429	2957070	minus	0		
220668	Lactobacillus plantarum WCFS1	1063417	0	live	lp_2960	lp_2960	lipase/esterase, subfamily of SGNH-hydrolases				NC_004567.2	2635315	2636016	plus	0		
196627	Corynebacterium glutamicum ATCC 13032	1021050	0	live	NCgl0117	NCgl0117, Cgl0118	esterase/lipase				NC_003450.3	130812	131711	minus	0		
266834	Sinorhizobium meliloti 1021	1233928	0	live	SMc01650	SMc01650	esterase/lipase				NC_003047.1	2447133	2448056	minus	0		
176299	Agrobacterium fabrum str. C58	1134040	0	live	Atu2002	Atu2002, AGR_C_3637	esterase/lipase			circular	NC_003062.2	1965887	1966855	plus	0		
160488	Pseudomonas putida KT2440	1042532	0	live	PP_4218	PP_4218	lipase/esterase family protein				NC_002947.4	4767855	4768811	minus	0		
272943	Rhodobacter sphaeroides 2.4.1	4796479	0	live	RSP_4262	RSP_4262	esterase/lipase/thioesterase				NC_009008.1	7329	8117	plus	0		
333849	Enterococcus faecium DO	13000996	0	live	HMPREF0351_12287	HMPREF0351_12287	esterase/lipase				NC_017960.1	2234276	2235271	minus	0		
759362	Ketogulonicigenium vulgare WSH-001	12375735	0	live	KVU_PB0175	KVU_PB0175	acyl-coa thioester hydrolase protein	acyl-coa thioester hydrolase protein|putative esterase/lipase/thioesterase			NC_017385.1	202214	202654	minus	0		
759362	Ketogulonicigenium vulgare WSH-001	12375481	0	live	KVU_2523	KVU_2523	esterase/lipase/thioesterase				NC_017384.1	2676366	2677457	minus	0		
446465	Brachybacterium faecium DSM 4810	8399973	0	live	Bfae_14260	Bfae_14260	esterase/lipase				NC_013172.1	1606938	1607711	minus	0		
446465	Brachybacterium faecium DSM 4810	8399206	0	live	Bfae_06580	Bfae_06580	esterase/lipase				NC_013172.1	757438	758388	plus	0		
446465	Brachybacterium faecium DSM 4810	8399201	0	live	Bfae_06530	Bfae_06530	esterase/lipase				NC_013172.1	752785	753684	plus	0		
402612	Flavobacterium psychrophilum JIP02/86	5300202	0	live	FP1731	FP1731	Esterase/lipase/thioesterase family protein precursor				NC_009613.3	1554194	1555951	plus	0		
402612	Flavobacterium psychrophilum JIP02/86	5299171	0	live	FP2443	FP2443	Esterase/lipase/thioesterase family protein				NC_009613.3	2810571	2811515	minus	0		
402612	Flavobacterium psychrophilum JIP02/86	5298719	0	live	FP2186	FP2186	Protein of unknown function, putative esterase/lipase/thioesterase				NC_009613.3	2082602	2083297	minus	0		
309807	Salinibacter ruber DSM 13855	3852533	0	live	SRU_0768	SRU_0768	esterase/lipase				NC_007677.1	981797	982453	minus	0		
176280	Staphylococcus epidermidis ATCC 12228	1056736	0	live	SE0389	SE0389	esterase/lipase				NC_004461.1	385357	386133	plus	0		
194439	Chlorobium tepidum TLS	1007475	0	live	CT2087	CT2087	esterase/lipase				NC_002932.3	1977688	1978374	minus	0		
1225786	Dickeya solani IPO 2222	23247793	0	live	DSOIPO2222_RS15825	DSOIPO2222_RS15825	esterase/lipase/thioesterase										
1125630	Klebsiella pneumoniae subsp. pneumoniae HS11286	11847800	0	live	KPHS_27820	KPHS_27820	esterase/lipase				NC_016845.1	2788206	2789162	minus	0		
1125630	Klebsiella pneumoniae subsp. pneumoniae HS11286	11847632	0	live	KPHS_26140	KPHS_26140	esterase_lipase family protein IroE				NC_016845.1	2631035	2631187	minus	0		
565050	Caulobacter crescentus NA1000	7332553	0	live	CCNA_03555	CCNA_03555	esterase lipase family protein				NC_011916.1	3711896	3712645	plus	0		
565050	Caulobacter crescentus NA1000	7332552	0	live	fzeB	CCNA_03554	esterase lipase family protein FzeB				NC_011916.1	3710527	3711843	plus	0		
565050	Caulobacter crescentus NA1000	7332127	0	live	CCNA_00037	CCNA_00037	esterase lipase family protein				NC_011916.1	39980	40768	minus	0		
565050	Caulobacter crescentus NA1000	7331087	0	live	CCNA_00388	CCNA_00388	esterase lipase Family protein				NC_011916.1	404125	405006	minus	0		
565050	Caulobacter crescentus NA1000	7330269	0	live	CCNA_00223	CCNA_00223	esterase lipase Family protein				NC_011916.1	239869	240651	plus	0		
36809	Mycobacterium abscessus	5967421	0	live	MAB_3878	MAB_3878	Probable lipase/esterase LipG			Chromosome	NC_010397.1	3929020	3929952	plus	0		
36809	Mycobacterium abscessus	5966515	0	live	MAB_4052c	MAB_4052c	Putative lipase/esterase			Chromosome	NC_010397.1	4098499	4100523	minus	0		
36809	Mycobacterium abscessus	5966507	0	live	MAB_4044c	MAB_4044c	Putative hydrolase/esterase/lipase			Chromosome	NC_010397.1	4088847	4089848	minus	0		
36809	Mycobacterium abscessus	5966469	0	live	MAB_4006	MAB_4006	Putative lipase/esterase/beta-lactamase			Chromosome	NC_010397.1	4050491	4051735	plus	0		
36809	Mycobacterium abscessus	5966346	0	live	MAB_3880	MAB_3880	Probable lipase/esterase LipG			Chromosome	NC_010397.1	3931370	3932344	plus	0		
36809	Mycobacterium abscessus	5965771	0	live	MAB_3270c	MAB_3270c	Probable lipase/esterase LipN			Chromosome	NC_010397.1	3308573	3309619	minus	0		
36809	Mycobacterium abscessus	5965164	0	live	MAB_2655	MAB_2655	Probable lipase/esterase (LipN)			Chromosome	NC_010397.1	2698267	2699316	plus	0		
36809	Mycobacterium abscessus	5963909	0	live	MAB_1387	MAB_1387	Putative esterase/lipase/beta-lactamase			Chromosome	NC_010397.1	1383259	1384539	plus	0		
36809	Mycobacterium abscessus	5963908	0	live	MAB_1386	MAB_1386	Putative esterase/lipase/beta-lactamase			Chromosome	NC_010397.1	1381875	1383146	plus	0		
36809	Mycobacterium abscessus	5963385	0	live	MAB_0853	MAB_0853	Probable esterase/lipase LipP			Chromosome	NC_010397.1	849544	850743	plus	0		
36809	Mycobacterium abscessus	5963378	0	live	MAB_0846	MAB_0846	Putative lipase/esterase			Chromosome	NC_010397.1	840745	841827	plus	0		
36809	Mycobacterium abscessus	5963021	0	live	MAB_0484	MAB_0484	Putative hydrolase/esterase/lipase			Chromosome	NC_010397.1	479243	480202	plus	0		
36809	Mycobacterium abscessus	5962621	0	live	MAB_0078	MAB_0078	Putative lipase/esterase			Chromosome	NC_010397.1	74906	75826	plus	0		
441771	Clostridium botulinum A str. Hall	5398744	0	live	CLC_2129	CLC_2129	lipase/esterase				NC_009698.1	2262617	2263663	minus	0		
380703	Aeromonas hydrophila subsp. hydrophila ATCC 7966	4489946	0	live	AHA_1148	AHA_1148	esterase/lipase/thioesterase family protein				NC_008570.1	1244217	1244855	plus	0		
380703	Aeromonas hydrophila subsp. hydrophila ATCC 7966	4488010	0	live	AHA_3684	AHA_3684	esterase/lipase				NC_008570.1	4112807	4113712	minus	0		
269796	Rhodospirillum rubrum ATCC 11170	3836569	0	live	Rru_A3123	Rru_A3123	esterase/lipase/thioesterase family protein				NC_007643.1	3602390	3603160	plus	0		
205918	Pseudomonas syringae pv. syringae B728a	3367605	0	live	Psyr_2091	Psyr_2091	esterase/lipase/thioesterase family protein				NC_007005.1	2440196	2441185	plus	0		
223283	Pseudomonas syringae pv. tomato str. DC3000	1183944	0	live	PSPTO_2293	PSPTO_2293, PSPTO2293	esterase/lipase/thioesterase family protein	esterase/lipase/thioesterase family protein			NC_004578.1	2538321	2539313	plus	0		
189518	Leptospira interrogans serovar Lai str. 56601	1151848	0	live	LA_2505	LA_2505, LA2505	esterase/lipase			I	NC_004342.2	2478440	2479549	plus	0		
189518	Leptospira interrogans serovar Lai str. 56601	1149740	0	live	LA_0397	LA_0397, LA0397	lipase/esterase			I	NC_004342.2	392775	393425	plus	0		
272562	Clostridium acetobutylicum ATCC 824	1116999	0	live	CA_C0816	CA_C0816	lipase/esterase				NC_003030.1	944493	945221	minus	0		
190485	Xanthomonas campestris pv. campestris str. ATCC 33913	998926	0	live	estA	XCC3148	lipase/esterase				NC_003902.1	3728778	3730562	minus	0		
983594	Burkholderia cepacia ATCC 25416	29782442	0	live	APZ15_RS14440	APZ15_RS14440, APZ15_14440	esterase/lipase			1							
749927	Amycolatopsis mediterranei U32	9441607	0	live	aes	AMED_7459	esterase/lipase				NC_014318.1	8242573	8244690	plus	0		
749927	Amycolatopsis mediterranei U32	9441606	0	live	AMED_7458	AMED_7458	esterase/lipase				NC_014318.1	8241473	8242558	plus	0		
749927	Amycolatopsis mediterranei U32	9439690	0	live	AMED_5514	AMED_5514	esterase/lipase				NC_014318.1	6112726	6113052	minus	0		
749927	Amycolatopsis mediterranei U32	9437929	0	live	AMED_3738	AMED_3738	esterase/lipase				NC_014318.1	4059980	4060885	plus	0		
749927	Amycolatopsis mediterranei U32	9437567	0	live	aes	AMED_3371	esterase/lipase-like protein				NC_014318.1	3648031	3648636	plus	0		
749927	Amycolatopsis mediterranei U32	9434530	0	live	AMED_0317	AMED_0317	esterase/lipase-like protein				NC_014318.1	327784	328992	plus	0		
749927	Amycolatopsis mediterranei U32	9434238	0	live	AMED_0029	AMED_0029	esterase/lipase-like protein				NC_014318.1	34727	36124	minus	0		
321967	Lactobacillus paracasei ATCC 334	4418881	0	live	LSEI_0975	LSEI_0975	esterase/lipase				NC_008526.1	957748	958482	plus	0		
272943	Rhodobacter sphaeroides 2.4.1	3722164	0	live	RSP_3675	RSP_3675	Esterase/lipase/thioesterase			2	NC_007494.2	794261	795178	minus	0		
272943	Rhodobacter sphaeroides 2.4.1	3720016	0	live	pldB	RSP_2418	putative Esterase/lipase/thioesterase			1	NC_007493.2	1050462	1051415	minus	0		
296	Pseudomonas fragi	29351653	0	live	AV641_RS16755	AV641_RS16755, AV641_16755	esterase/lipase/thioesterase										
28173	Vibrio nigripulchritudo	29466039	0	live	VIBNI_RS24240	VIBNI_RS24240, VIBNI_B1208	esterase/lipase			2	NC_022543.1	1238426	1239583	minus	0		
1423144	Phaeobacter gallaeciensis DSM 26640	31845609	0	live	GAL_RS05760	GAL_RS05760, Gal_01180	esterase/lipase				NC_023137.1	1188292	1189218	plus	0		
681645	Corynebacterium pseudotuberculosis C231	12298151	0	live	CPC231_RS12500	CPC231_RS12500, CpC231_0414	Esterase/lipase	Esterase/lipase|alpha/beta hydrolase			NC_017301.1	423956	424798	minus	0		
382	Sinorhizobium meliloti	9394982	0	live	pSmeSM11ap089	pSmeSM11ap089	contains esterase/lipase domain	contains esterase/lipase domain|hypothetical protein			NC_013545.1	78143	79216	minus	0		
83332	Mycobacterium tuberculosis H37Rv	888677	0	live	lipY	Rv3097c, PE_PGRS63	triacylglycerol lipase Lip				NC_000962.3	3465778	3467091	minus	0		
